title,year,director,rating,budget_millions,is_blockbuster,rating_category
The Dark Knight,2008,Christopher Nolan,9.0,185,True,Masterpiece
Inception,2010,Christopher Nolan,8.8,160,True,Excellent
The Matrix,1999,The Wachowski Brothers,8.7,63,False,Excellent
Pulp Fiction,1994,Quentin Tarantino,8.9,8,False,Excellent
Forrest Gump,1994,Robert Zemeckis,8.8,55,False,Excellent
The Lord of the Rings,2001,Peter Jackson,8.9,93,False,Excellent
The Godfather,1972,Francis Ford Coppola,9.2,6,False,Masterpiece
Star Wars,1977,George Lucas,8.6,11,False,Excellent
Jurassic Park,1993,Steven Spielberg,8.2,63,False,Excellent
Titanic,1997,James Cameron,7.9,200,True,Good
Avatar,2009,James Cameron,7.9,237,True,Good
The Avengers,2012,Joss Whedon,8.0,220,True,Excellent
Iron Man,2008,Jon Favreau,7.9,140,True,Good
Toy Story,1995,John Lasseter,8.3,30,False,Excellent
Finding Nemo,2003,Andrew Stanton,8.1,94,False,Excellent
